Experiment ID,26522.0,
Experiment name,"Flavin-based yeast metabolic oscillations, BY4741, 10 g/L glucose, experiment ID IS20016",
Job,16a82203-8af5-48b6-8ebc-ab82974a84c0,
Method,BD2 eJTK,
Submitted,2023-09-22T10:11:57.271635623,Finished,2023-09-22T10:12:05.559743710,
NULL_SIZE,100000,
DW_END,0.0,
PERIOD_MIN,24.0,
DATA_SET_ID,26522_LIN_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,linear dtr,
PARAMS_SUMMARY,linear dtr min-max p(24.0),
DATA_SET_TYPE,LIN_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
1,by4741,,0.186786182898571,0.00961990380096199,0.01923980760192398,ACOS,24.0,4.0,10.0,4.0,10.0,24.0,0.75,,2.007749342366992E-4,4.015498684733984E-4,0.015660444870462538,0.031320889740925076,
2,by4741,,0.1046709830302699,0.43081569184308155,0.5346267019257518,ACOS,24.0,18.0,18.0,18.0,18.0,24.0,0.0,,0.023671693667613413,0.029375716238122667,1.8463921060738462,1.0,
3,by4741,,0.08486459508164301,0.6931430685693143,0.7718241736501554,ACOS,24.0,2.0,18.0,2.0,18.0,24.0,0.33,,0.05392405377827064,0.060045162585533794,4.20607619470511,1.0,
4,by4741,,0.09836982603151412,0.5118548814511855,0.605989112522668,ACOS,24.0,8.0,0.0,8.0,0.0,24.0,0.33,,0.031173042858689225,0.036906016257988394,2.4314973429777598,1.0,
5,by4741,,0.16865148826489473,0.02832971670283297,0.050309669317099924,ACOS,24.0,0.0,4.0,0.0,4.0,24.0,0.83,,6.980344308124962E-4,0.0012396128685118466,0.0544466856033747,0.09668980374392404,
6,by4741,,0.18161913049639644,0.013139868601313987,0.024833146163951204,ACOS,24.0,18.0,18.0,18.0,18.0,24.0,0.0,,2.896105473428842E-4,5.473373647030656E-4,0.02258962269274497,0.042692314446839116,
7,by4741,,0.08163261552544161,0.7346426535734643,0.8092854900328001,ACOS,24.0,18.0,18.0,18.0,18.0,24.0,0.0,,0.06096729292632336,0.06716183071028134,4.755448848253222,1.0,
8,by4741,,0.21745806466118883,0.001089989100108999,0.002522896119353413,ACOS,24.0,14.0,8.0,14.0,8.0,24.0,0.25,,1.8926576269348143E-5,4.3807581027929406E-5,0.0014762729490091552,0.003416991320178494,
9,by4741,,0.15294770077001354,0.06572934270657294,0.10336064578285516,ACOS,24.0,8.0,10.0,8.0,10.0,24.0,0.92,,0.0018782272420014862,0.0029535481820786727,0.14650172487611593,0.23037675820213652,
10,by4741,,0.16565876162090856,0.033279667203327964,0.05809840206682679,ACOS,24.0,2.0,18.0,2.0,18.0,24.0,0.33,,8.483246746219521E-4,0.0014809735845095096,0.06616932462051227,0.11551593959174175,
