Data Id,Data Label,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p
1,by4741,0.186786182898571,0.009619903800962,0.019239807601924,ACOS,24,4,10,4,10,24,0.75,,0.000200774934237,0.000401549868473,0.015660444870463,0.031320889740925
2,by4741,0.10467098303027,0.430815691843082,0.534626701925752,ACOS,24,18,18,18,18,24,0,,0.023671693667614,0.029375716238123,1.84639210607385,1
3,by4741,0.084864595081643,0.693143068569314,0.771824173650155,ACOS,24,2,18,2,18,24,0.33,,0.053924053778271,0.060045162585534,4.20607619470511,1
4,by4741,0.098369826031514,0.511854881451186,0.605989112522668,ACOS,24,8,0,8,0,24,0.33,,0.031173042858689,0.036906016257988,2.43149734297776,1
5,by4741,0.168651488264895,0.028329716702833,0.0503096693171,ACOS,24,0,4,0,4,24,0.83,,0.000698034430812,0.001239612868512,0.054446685603375,0.096689803743924
6,by4741,0.181619130496396,0.013139868601314,0.024833146163951,ACOS,24,18,18,18,18,24,0,,0.000289610547343,0.000547337364703,0.022589622692745,0.042692314446839
7,by4741,0.081632615525442,0.734642653573464,0.8092854900328,ACOS,24,18,18,18,18,24,0,,0.060967292926323,0.067161830710281,4.75544884825322,1
8,by4741,0.217458064661189,0.001089989100109,0.002522896119353,ACOS,24,14,8,14,8,24,0.25,,1.89265762693481E-05,4.38075810279294E-05,0.001476272949009,0.003416991320179
9,by4741,0.152947700770014,0.065729342706573,0.103360645782855,ACOS,24,8,10,8,10,24,0.92,,0.001878227242001,0.002953548182079,0.146501724876116,0.230376758202136
10,by4741,0.165658761620909,0.033279667203328,0.058098402066827,ACOS,24,2,18,2,18,24,0.33,,0.000848324674622,0.00148097358451,0.066169324620512,0.115515939591742
11,by4741,0.199557983032404,0.003779962200378,0.008283746949765,ACOS,24,14,6,14,6,24,0.33,,7.80834867726906E-05,0.000171119130587,0.00609051196827,0.013347292185783
12,by4741,0.219180210225246,0.000979990200098,0.002294067968411,ACOS,24,6,20,6,20,24,0.42,,1.64189243051306E-05,3.84352091688286E-05,0.0012806760958,0.002997946315169
13,by4741,0.264300787592906,9.99990000099999E-06,2.94282771458E-05,ACOS,24,16,6,16,6,24,0.42,,2.7536028946342E-07,8.10345994706637E-07,2.14781025781468E-05,6.32069875871177E-05
14,by4741,0.313008109012208,9.99990000099999E-06,2.94282771458E-05,COS,24,20,8,20,8,24,0.5,,1.50908400289889E-09,7.06525692266301E-09,1.17708552226114E-07,5.51090039967714E-07
15,by4741,0.097289153006677,0.526634733652663,0.619924315042564,ACOS,24,12,6,12,6,24,0.25,,0.032638907801312,0.038420657183258,2.5458348085023,1
