Data Id,Data Label,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p
16,by4741,0.095309468322461,0.553154468455315,0.636591175987681,ACOS,24,10,6,10,6,24,0.17,,0.035471558479513,0.040822017021115,2.76678156140197,1
17,by4741,0.116109225515554,0.301756982430176,0.391409041884424,ACOS,24,12,14,12,14,24,0.92,,0.013905675005048,0.018047963413501,1.08464265039371,1
18,by4741,0.200219003961849,0.003669963300367,0.008129166020168,ACOS,24,2,18,2,18,24,0.33,,7.42464056209643E-05,0.000164459780193,0.005791219638435,0.012827862855029
19,by4741,0.152982063777345,0.06569934300657,0.103360645782855,ACOS,24,0,0,0,0,24,0,,0.00187433190939,0.002953548182079,0.146197888932419,0.230376758202136
20,by4741,0.185077223698937,0.010559894401056,0.020717507110643,ACOS,24,18,22,18,22,24,0.83,,0.000226864483226,0.000445086509948,0.017695429691608,0.034716747775917
21,by4741,0.388041651767165,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,4,12,4,24,0.33,,9.74287163166723E-14,1.33802103741563E-12,7.59943987270044E-12,1.04365640918419E-10
22,by4741,0.066508633409469,0.897731022689773,0.934002983202491,ACOS,24,2,0,2,0,24,0.08,,0.103807974204589,0.108002235788613,8.09702198795794,1
23,by4741,0.342287481796494,9.99990000099999E-06,2.94282771458E-05,ACOS,24,14,4,14,4,24,0.42,,4.42579529475206E-11,2.76276918399674E-10,3.45212032990661E-09,2.15495996351746E-08
24,by4741,0.424696329639026,9.99990000099999E-06,2.94282771458E-05,ACOS,24,8,18,8,18,24,0.58,,4.25007901973993E-16,8.75516278066425E-15,3.31506163539715E-14,6.82902696891812E-13
25,by4741,0.103773991087789,0.441945580544195,0.536394400761875,COS,24,8,20,8,20,24,0.5,,0.024636609861422,0.029918553450982,1.92165556919092,1
26,by4741,0.075047968583907,0.813741862581374,0.873077206727933,ACOS,24,20,22,20,22,24,0.92,,0.077521251385373,0.083173842632223,6.04665760805905,1
27,by4741,0.116661516453704,0.2959970400296,0.388378281822277,ACOS,24,6,8,6,8,24,0.92,,0.013538653362505,0.017764092946981,1.05601496227537,1
28,by4741,0.237384801418278,0.000259997400026,0.000669493305067,ACOS,24,12,2,12,2,24,0.42,,3.43362598309109E-06,8.9535057280603E-06,0.000267822826681,0.000698373446789
29,by4741,0.356259567680136,9.99990000099999E-06,2.94282771458E-05,ACOS,24,6,0,6,0,24,0.25,,7.38725343246104E-12,6.61640959603032E-11,5.76205767731961E-10,5.16079948490365E-09
30,by4741,0.244556842941652,0.000169998300017,0.000479721230185,ACOS,24,8,22,8,22,24,0.42,,1.79635713154855E-06,5.06917217943836E-06,0.000140115856261,0.000395395429996
31,by4741,0.341018081826769,9.99990000099999E-06,2.94282771458E-05,ACOS,24,6,22,6,22,24,0.33,,5.18982382890344E-11,3.1444226728062E-10,4.04806258654468E-09,2.45264968478884E-08
32,by4741,0.254685627709717,2.9999700003E-05,8.58324750085833E-05,ACOS,24,0,8,0,8,24,0.67,,6.9804139439866E-07,1.9971739895295E-06,5.44472287630955E-05,0.000155779571183
33,by4741,0.305351641067458,9.99990000099999E-06,2.94282771458E-05,ACOS,24,4,18,4,18,24,0.42,,3.6140120372046E-09,1.58401378651947E-08,2.81892938901959E-07,1.23553075348518E-06
34,by4741,0.169796863320686,0.026639733602664,0.048138465983761,ACOS,24,20,12,20,12,24,0.33,,0.000647322508261,0.001169723128963,0.050491155644372,0.091238404059128
35,by4741,0.24238649517936,0.000189998100019,0.000514994850052,ACOS,24,16,20,16,20,24,0.83,,2.18952545783339E-06,6.09516546369835E-06,0.000170782985711,0.000475422906168
36,by4741,0.216156784412436,0.001189988100119,0.002723750540272,ACOS,24,12,18,12,18,24,0.75,,2.10581970871182E-05,4.81998733327372E-05,0.001642539372795,0.003759590119954
37,by4741,0.344465319834506,9.99990000099999E-06,2.94282771458E-05,COS,24,16,4,16,4,24,0.5,,3.36327337948896E-11,2.23494940701524E-10,2.62335323600139E-09,1.74326053747189E-08
38,by4741,0.221895016739338,0.00079999200008,0.001894233931224,ACOS,24,0,10,0,10,24,0.58,,1.30960215147469E-05,3.10089704831938E-05,0.00102148967815,0.002418699697689
39,by4741,0.310609804320937,9.99990000099999E-06,2.94282771458E-05,ACOS,24,10,16,10,16,24,0.75,,1.98827323127958E-09,9.10187301430208E-09,1.55085312039807E-07,7.09946095115562E-07
40,by4741,0.158665720219401,0.048889511104889,0.080569914300857,ACOS,24,2,16,2,16,24,0.42,,0.001322409903117,0.002179331520336,0.103147972443092,0.169987858586215
41,by4741,0.235327439289363,0.00029999700003,0.000753651000075,ACOS,24,12,22,12,22,24,0.58,,4.1213571891477E-06,1.03536534263955E-05,0.000321465860754,0.000807584967259
42,by4741,0.497505980966992,9.99990000099999E-06,2.94282771458E-05,COS,24,10,22,10,22,24,0.5,,2.12378423217475E-21,2.18749775913999E-19,1.6565517010963E-19,1.70624825212919E-17
43,by4741,0.264454316949626,9.99990000099999E-06,2.94282771458E-05,ACOS,24,6,16,6,16,24,0.58,,2.7123002623263E-07,8.09759208752491E-07,2.11559420461452E-05,6.31612182826943E-05
44,by4741,0.334959186872885,9.99990000099999E-06,2.94282771458E-05,ACOS,24,4,20,4,20,24,0.33,,1.10122069760085E-10,5.67128659264437E-10,8.58952144128662E-09,4.42360354226261E-08
45,by4741,0.190174923412648,0.007709922900771,0.015571020760381,ACOS,24,0,4,0,4,24,0.83,,0.00015711939529,0.000317319563036,0.0122553128326,0.024750925916819
46,by4741,0.273527098196691,9.99990000099999E-06,2.94282771458E-05,ACOS,24,10,0,10,0,24,0.42,,1.09433423825346E-07,3.52238832937833E-07,8.535807058377E-06,2.7474628969151E-05
47,by4741,0.14766993520741,0.084139158608414,0.128390123506172,COS,24,12,0,12,0,24,0.5,,0.002571624565321,0.003924108595972,0.20058671609505,0.306080470485779
48,by4741,0.290725682252167,9.99990000099999E-06,2.94282771458E-05,ACOS,24,22,12,22,12,24,0.42,,1.81035534911696E-08,6.78060367123807E-08,1.41207717231123E-06,5.2888708635657E-06
49,by4741,0.34615886791791,9.99990000099999E-06,2.94282771458E-05,ACOS,24,6,20,6,20,24,0.42,,2.713599273455E-11,1.86333816777243E-10,2.1166074332949E-09,1.4534037708625E-08
50,by4741,0.278880825553161,9.99990000099999E-06,2.94282771458E-05,COS,24,0,12,0,12,24,0.5,,6.31991267296502E-08,2.16983668438466E-07,4.92953188491271E-06,1.69247261382003E-05
51,by4741,0.376837806068422,9.99990000099999E-06,2.94282771458E-05,ACOS,24,6,16,6,16,24,0.58,,4.66665042609939E-13,5.65488228103809E-12,3.63998733235753E-11,4.41080817920971E-10
52,by4741,0.234380799235613,0.000309996900031,0.000769389896462,ACOS,24,18,14,18,14,24,0.17,,4.48032168809067E-06,1.11198345511648E-05,0.000349465091671,0.000867347094991
53,by4741,0.353182981104968,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,22,12,22,24,0.58,,1.10216675787341E-11,9.44995236500979E-11,8.59690071141263E-10,7.37096284470763E-09
54,by4741,0.43928275437198,9.99990000099999E-06,2.94282771458E-05,ACOS,24,8,0,8,0,24,0.33,,4.28280370196136E-17,1.2418275181866E-15,3.34058688752986E-15,9.68625464185544E-14
55,by4741,0.361236305701992,9.99990000099999E-06,2.94282771458E-05,COS,24,18,6,18,6,24,0.5,,3.84003586703152E-12,3.76689232670711E-11,2.99522797628458E-10,2.93817601483155E-09
56,by4741,0.373231952562132,9.99990000099999E-06,2.94282771458E-05,ACOS,24,18,8,18,8,24,0.42,,7.65365662296748E-13,8.75918480184056E-12,5.96985216591464E-11,6.83216414543564E-10
57,by4741,0.099176106424199,0.501184988150119,0.596786748895517,ACOS,24,20,20,20,20,24,0,,0.030115207548966,0.035859726908017,2.34898618881932,1
58,by4741,0.295533611251488,9.99990000099999E-06,2.94282771458E-05,COS,24,20,8,20,8,24,0.5,,1.07475957843826E-08,4.1773674180808E-08,8.38312471181846E-07,3.25834658610302E-06
59,by4741,0.461945477890264,9.99990000099999E-06,2.94282771458E-05,COS,24,4,16,4,16,24,0.5,,1.04298536157477E-18,7.16183281614674E-17,8.13528582028319E-17,5.58622959659446E-15
60,by4741,0.191240478518172,0.00719992800072,0.014685001664835,ACOS,24,2,10,2,10,24,0.67,,0.000145344518506,0.000296445255567,0.011336872443482,0.023122729934231
61,by4741,0.096362165719764,0.539124608753912,0.63102084888242,ACOS,24,14,6,14,6,24,0.33,,0.033941176269043,0.039726604042176,2.64741174898537,1
62,by4741,0.338757953851496,9.99990000099999E-06,2.94282771458E-05,ACOS,24,22,12,22,12,24,0.42,,6.88150540274253E-11,3.93775031379156E-10,5.36757421413917E-09,3.07144524475741E-08
63,by4741,0.160133148287219,0.045309546904531,0.077138567457301,ACOS,24,16,20,16,20,24,0.83,,0.001206414440345,0.002053895658769,0.094100326346894,0.160203861383968
64,by4741,0.163891845895042,0.037039629603704,0.06411902267532,ACOS,24,6,12,6,12,24,0.75,,0.000950491704437,0.001645389000958,0.074138352946091,0.128340342074746
65,by4741,0.291827956071285,9.99990000099999E-06,2.94282771458E-05,ACOS,24,8,2,8,2,24,0.25,,1.60752086942327E-08,6.13239442779987E-08,1.25386627815015E-06,4.7832676536839E-06
66,by4741,0.237512774341237,0.000259997400026,0.000669493305067,ACOS,24,18,4,18,4,24,0.58,,3.3946904251982E-06,8.9535057280603E-06,0.000264785853165,0.000698373446789
67,by4741,0.390960413201676,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,4,12,4,24,0.33,,6.43125097309247E-14,9.46312643183606E-13,5.01637575901213E-12,7.38123861683213E-11
68,by4741,0.185233168882278,0.010439895601044,0.020679023978991,ACOS,24,16,6,16,6,24,0.42,,0.000224358634215,0.000444402679311,0.017499973468792,0.034663408986261
69,by4741,0.167652577387433,0.029889701102989,0.052626311343724,ACOS,24,10,20,10,20,24,0.58,,0.00074522624708,0.001312107751269,0.058127647272259,0.102344404599019
70,by4741,0.093239484390981,0.581084189158108,0.665018572036502,ACOS,24,14,14,14,14,24,0,,0.03864584974316,0.044228028039395,3.0143762799665,1
71,by4741,0.275533366314999,9.99990000099999E-06,2.94282771458E-05,ACOS,24,10,20,10,20,24,0.58,,8.91876023860581E-08,3.01190919533245E-07,6.95663298611253E-06,2.34928917235931E-05
72,by4741,0.053201934355944,0.974980250197498,0.976240237597624,ACOS,24,18,0,18,0,24,0.75,,0.156721409856437,0.157485904538663,12.2242699688021,1
73,by4741,0.111854839333864,0.346646533534665,0.440797443877413,ACOS,24,6,20,6,20,24,0.42,,0.017031345430721,0.021657142955114,1.3284449435962,1
74,by4741,0.254846308229124,2.9999700003E-05,8.58324750085833E-05,COS,24,22,10,22,10,24,0.5,,6.8745552545943E-07,1.9945892710513E-06,5.36215309858355E-05,0.000155577963142
75,by4741,0.158730831362938,0.048769512304877,0.080569914300857,ACOS,24,16,22,16,22,24,0.75,,0.001317054244721,0.002179331520336,0.102730231088237,0.169987858586215
76,by4741,0.448947874871285,9.99990000099999E-06,2.94282771458E-05,ACOS,24,14,6,14,6,24,0.33,,8.98044327544747E-18,3.69994262948436E-16,7.00474575484902E-16,2.8859552509978E-14
77,by4741,0.19803774668571,0.004359956400436,0.009355739775936,ACOS,24,6,22,6,22,24,0.33,,8.76279844026889E-05,0.000188035049864,0.00683498278341,0.0146667338894
78,by4741,0.416887550542053,9.99990000099999E-06,2.94282771458E-05,COS,24,14,2,14,2,24,0.5,,1.40772585702844E-15,2.63628660498054E-14,1.09802616848219E-13,2.05630355188482E-12
79,by4741,0.119860189097427,0.265287347126529,0.357184271294542,ACOS,24,12,12,12,12,24,0,,0.011573270200789,0.015582311512173,0.902715075661533,1
80,by4741,0.181939365550841,0.012919870801292,0.024833146163951,ACOS,24,18,10,18,10,24,0.33,,0.000283183321255,0.000545194057744,0.022088299057908,0.04252513650401
81,by4741,0.298817652970699,9.99990000099999E-06,2.94282771458E-05,ACOS,24,22,8,22,8,24,0.58,,7.49235184993743E-09,3.08684896217422E-08,5.8440344429512E-07,2.40774219049589E-06
82,by4741,0.056105686938609,0.96360036399636,0.973047426388481,ACOS,24,6,0,6,0,24,0.25,,0.14388144226936,0.14529204464455,11.2227524970101,1
83,by4741,0.23778922415976,0.000259997400026,0.000669493305067,ACOS,24,16,22,16,22,24,0.75,,3.31201755682117E-06,8.86072229487221E-06,0.000258337369432,0.000691136339
84,by4741,0.08668606755102,0.668763312366876,0.75281553195397,COS,24,22,10,22,10,24,0.5,,0.050248115019708,0.056563451880108,3.9193529715372,1
85,by4741,0.270833320108762,9.99990000099999E-06,2.94282771458E-05,ACOS,24,10,16,10,16,24,0.75,,1.4370921611811E-07,4.55447669543549E-07,1.12093188572126E-05,3.55249182243968E-05
86,by4741,0.285269573066076,9.99990000099999E-06,2.94282771458E-05,ACOS,24,6,22,6,22,24,0.33,,3.23967458630895E-08,1.15064304272352E-07,2.52694617732098E-06,8.97501573324348E-06
87,by4741,0.05282848639415,0.976240237597624,0.976240237597624,ACOS,24,8,8,8,8,24,0,,0.158425857672077,0.158425857672077,12.357216898422,1
88,by4741,0.128182054340477,0.193208067919321,0.274488703388828,ACOS,24,10,14,10,14,24,0.83,,0.007576893240724,0.010764413845442,0.590997672776433,0.83962427994445
89,by4741,0.130287953250705,0.178188218117819,0.254908145362991,ACOS,24,18,20,18,20,24,0.92,,0.006782450268387,0.009702671911721,0.529031120934213,0.756808409114222
90,by4741,0.197538438088533,0.004619953800462,0.00981144827727,COS,24,4,16,4,16,24,0.5,,9.09950530053618E-05,0.00019324722597,0.007097614134418,0.015073283625672
91,by4741,0.215122666053955,0.001239987600124,0.002807004896984,ACOS,24,4,20,4,20,24,0.33,,2.29126181051657E-05,5.18681245018037E-05,0.001787184212203,0.004045713711141
92,by4741,0.114835491649072,0.314906850931491,0.405442570574294,ACOS,24,20,20,20,20,24,0,,0.014784974503681,0.01903565467349,1.15322801128713,1
93,by4741,0.274331248917,9.99990000099999E-06,2.94282771458E-05,ACOS,24,4,22,4,22,24,0.25,,1.00835175349378E-07,3.29715017809078E-07,7.86514367725151E-06,2.57177713891081E-05
94,by4741,0.135083742249231,0.146708532914671,0.215871127003016,ACOS,24,0,20,0,20,24,0.17,,0.005241897536579,0.007713077803823,0.408868007853129,0.601620068698175
95,by4741,0.062978893904946,0.924960750392496,0.954280358186517,ACOS,24,16,16,16,16,24,0,,0.116381896641271,0.120475732201517,9.07778793801913,1
96,by4741,0.126349745490891,0.207567924320757,0.290877499388271,ACOS,24,20,12,20,12,24,0.33,,0.008333652974719,0.011678452467974,0.650024932028093,0.910919292501953
97,by4741,0.071495733823317,0.851521484785152,0.898571422449041,ACOS,24,18,18,18,18,24,0,,0.087766245458199,0.092717161868661,6.84576714573948,1
98,by4741,0.1303286745998,0.177878221217788,0.254908145362991,ACOS,24,10,8,10,8,24,0.08,,0.006767842371921,0.009702671911721,0.527891705009824,0.756808409114222
99,by4741,0.071166394003083,0.854951450485495,0.898571422449041,ACOS,24,18,14,18,14,24,0.17,,0.088764994387104,0.093293820631344,6.92366956219414,1
100,by4741,0.078984791277022,0.76760232397676,0.832242519680066,ACOS,24,12,12,12,12,24,0,,0.067257077830637,0.072920831753217,5.24605207078965,1
101,by4741,0.198266547380148,0.004219957800422,0.009150645335652,ACOS,24,22,14,22,14,24,0.33,,8.61245415763201E-05,0.000186754269102,0.006717714242953,0.014566832989982
102,by4741,0.181018869327993,0.01369986300137,0.025656107075293,ACOS,24,6,10,6,10,24,0.83,,0.000302025366567,0.000565611141025,0.02355797859222,0.044117668999975
103,by4741,0.241883837424713,0.000189998100019,0.000514994850052,COS,24,20,8,20,8,24,0.5,,2.291696493064E-06,6.29452636761579E-06,0.000178752326459,0.000490973056674
104,by4741,0.333152176830887,9.99990000099999E-06,2.94282771458E-05,ACOS,24,22,14,22,14,24,0.33,,1.37477626829108E-10,6.90741246995029E-10,1.07232548926704E-08,5.38778172656123E-08
105,by4741,0.29839856908912,9.99990000099999E-06,2.94282771458E-05,ACOS,24,10,20,10,20,24,0.58,,7.84702840512851E-09,3.16958402246367E-08,6.12068215600024E-07,2.47227553752166E-06
106,by4741,0.104863912609042,0.42859571404286,0.534626701925752,ACOS,24,2,22,2,22,24,0.17,,0.02346836103667,0.029299893173055,1.83053216086026,1
107,by4741,0.06131734731642,0.93550064499355,0.954280358186517,ACOS,24,12,10,12,10,24,0.08,,0.122660778572612,0.125181412815693,9.56754072866375,1
108,by4741,0.32196280075145,9.99990000099999E-06,2.94282771458E-05,ACOS,24,22,14,22,14,24,0.33,,5.29438063330991E-10,2.53637769874847E-09,4.12961689398173E-08,1.97837460502381E-07
109,by4741,0.103838371414008,0.441185588144119,0.536394400761875,ACOS,24,14,14,14,14,24,0,,0.024566271817241,0.029918553450982,1.91616920174478,1
110,by4741,0.368989127989092,9.99990000099999E-06,2.94282771458E-05,ACOS,24,22,12,22,12,24,0.42,,1.36187999629441E-12,1.4765646275613E-11,1.06226639710964E-10,1.15172040949782E-09
111,by4741,0.150866070423592,0.07249927500725,0.11314280796586,ACOS,24,2,8,2,8,24,0.75,,0.002128380657144,0.003321563752815,0.166013691257224,0.259081972719607
112,by4741,0.296878098906564,9.99990000099999E-06,2.94282771458E-05,COS,24,12,0,12,0,24,0.5,,9.27596147006805E-09,3.67470781314234E-08,7.23524994665308E-07,2.86627209425103E-06
113,by4741,0.086220151188649,0.675683243167568,0.75647145702456,ACOS,24,2,8,2,8,24,0.75,,0.051168820610646,0.057286831770615,3.99116800763042,1
114,by4741,0.159336302587378,0.047159528404716,0.078982624807898,ACOS,24,6,22,6,22,24,0.33,,0.001268192905544,0.002123965354,0.098919046632393,0.165669297611975
115,by4741,0.062689188009643,0.927050729492705,0.954280358186517,ACOS,24,4,6,4,6,24,0.92,,0.117459943279797,0.120983741578191,9.16187557582419,1
116,by4741,0.225236328492053,0.000649993500065,0.001575278364863,ACOS,24,18,10,18,10,24,0.33,,9.88010391485162E-06,2.39447224289345E-05,0.000770648105358,0.001867688349457
117,by4741,0.308606012453325,9.99990000099999E-06,2.94282771458E-05,ACOS,24,18,10,18,10,24,0.33,,2.49958316440035E-09,1.11937854753581E-08,1.94967486823227E-07,8.73115267077931E-07
118,by4741,0.118159227675272,0.281607183928161,0.374265031543233,ACOS,24,22,22,22,22,24,0,,0.012585153514662,0.01672607499368,0.981641974143652,1
119,by4741,0.299249856548867,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,4,12,4,24,0.33,,7.14289627756636E-09,3.00293190444627E-08,5.57145909650176E-07,2.34228688546809E-06
120,by4741,0.117926877303742,0.283717162828372,0.374652150914388,ACOS,24,0,0,0,0,24,0,,0.012729155057464,0.016809012447677,0.992874094482219,1
121,by4741,0.103070336122484,0.451075489245108,0.543400881780656,ACOS,24,14,14,14,14,24,0,,0.025416457030432,0.03061865583783,1.98248364837368,1
122,by4741,0.125712692018013,0.212717872821272,0.295102418103336,ACOS,24,4,8,4,8,24,0.83,,0.008611894678933,0.011962524071552,0.671727784956798,0.933076877581023
123,by4741,0.080072942756041,0.753562464375356,0.825712062028316,ACOS,24,6,6,6,6,24,0,,0.064614044218976,0.070800495261219,5.03989544908015,1
124,by4741,0.056891479991798,0.959920400795992,0.973047426388481,ACOS,24,22,22,22,22,24,0,,0.14053237029246,0.142609203350969,10.9615248828119,1
125,by4741,0.266279811238049,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,2,12,2,24,0.42,,2.26476663460377E-07,7.06881707164206E-07,1.76651797499094E-05,5.51367731588081E-05
126,by4741,0.104080757895621,0.43819561804382,0.536394400761875,ACOS,24,10,14,10,14,24,0.83,,0.024302964886547,0.029918553450982,1.89563126115064,1
127,by4741,0.150311087657614,0.074279257207428,0.115049075073159,ACOS,24,18,10,18,10,24,0.33,,0.002199991445717,0.003407505547501,0.171599332765902,0.265785432705081
128,by4741,0.134018437779784,0.153228467715323,0.222289185558849,ACOS,24,6,6,6,6,24,0,,0.005554274635631,0.008057609682676,0.433233421579247,0.628493555248766
129,by4741,0.134084193334867,0.152938470615294,0.222289185558849,ACOS,24,16,8,16,8,24,0.33,,0.005534524860037,0.008057609682676,0.431692939082906,0.628493555248766
130,by4741,0.061293990124742,0.935750642493575,0.954280358186517,ACOS,24,2,2,2,2,24,0,,0.122750705770728,0.125181412815693,9.5745550501168,1
131,by4741,0.34739553871375,9.99990000099999E-06,2.94282771458E-05,ACOS,24,0,16,0,16,24,0.33,,2.31846242528542E-11,1.64690779175447E-10,1.80840069172263E-09,1.28458807756849E-08
132,by4741,0.181667100516605,0.013109868901311,0.024833146163951,ACOS,24,2,0,2,0,24,0.08,,0.000288639200739,0.000547337364703,0.022513857657637,0.042692314446839
133,by4741,0.35287606563149,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,22,12,22,24,0.58,,1.14683887924876E-11,9.44995236500979E-11,8.94534325814033E-10,7.37096284470763E-09
134,by4741,0.153359575281066,0.064359356406436,0.103360645782855,ACOS,24,12,12,12,12,24,0,,0.00183201871991,0.002948405127355,0.142897460152955,0.229975599933662
135,by4741,0.079329762429779,0.763152368476315,0.831795703206989,ACOS,24,12,14,12,14,24,0.92,,0.06641027171412,0.072383682397401,5.18000119370137,1
136,by4741,0.148163444821572,0.082189178108219,0.126350527539501,ACOS,24,10,20,10,20,24,0.58,,0.002498145170777,0.00384043212821,0.194855323320619,0.299553706000355
137,by4741,0.124454911021192,0.223077769222308,0.304331261323148,ACOS,24,8,2,8,2,24,0.25,,0.009185261600027,0.01253088668613,0.716450404802143,0.977409161518155
138,by4741,0.169568462777603,0.026929730702693,0.04823934369352,ACOS,24,22,4,22,4,24,0.75,,0.000657155159612,0.00117716489461,0.05125810244975,0.091818861779553
139,by4741,0.351274175229184,9.99990000099999E-06,2.94282771458E-05,ACOS,24,12,2,12,2,24,0.42,,1.41035579080447E-11,1.11743574194508E-10,1.10007751682749E-09,8.71599878717164E-09
140,by4741,0.335755642027433,9.99990000099999E-06,2.94282771458E-05,ACOS,24,20,12,20,12,24,0.33,,9.98264850064491E-11,5.30056142369627E-10,7.78646583050303E-09,4.13443791048309E-08
141,by4741,0.159389858741688,0.047049529504705,0.078982624807898,ACOS,24,8,0,8,0,24,0.33,,0.001263951757138,0.002123965354,0.098588237056787,0.165669297611975
142,by4741,0.119159932577887,0.272067279327207,0.363934152866263,ACOS,24,16,20,16,20,24,0.83,,0.011980956496179,0.016026474274109,0.934514606701937,1
143,by4741,0.153131783008421,0.065159348406516,0.103360645782855,COS,24,8,20,8,20,24,0.5,,0.001857445540256,0.002953548182079,0.144880752140002,0.230376758202136
144,by4741,0.383274450501786,9.99990000099999E-06,2.94282771458E-05,ACOS,24,8,22,8,22,24,0.42,,1.90770538958487E-13,2.45617068909052E-12,1.4880102038762E-11,1.9158131374906E-10
145,by4741,0.442564190509181,9.99990000099999E-06,2.94282771458E-05,ACOS,24,18,4,18,4,24,0.58,,2.52931950421692E-17,8.68399696447808E-16,1.9728692132892E-15,6.77351763229291E-14
146,by4741,0.398911084990895,9.99990000099999E-06,2.94282771458E-05,COS,24,16,4,16,4,24,0.5,,2.04307596960198E-14,3.5072804144834E-13,1.59359925628955E-12,2.73567872329706E-11
147,by4741,0.135197430043471,0.146058539414606,0.215871127003016,COS,24,20,8,20,8,24,0.5,,0.005209501952105,0.007713077803823,0.406341152264172,0.601620068698175
148,by4741,0.202781506856332,0.003049969500305,0.006829279533292,ACOS,24,4,0,4,0,24,0.17,,6.0985933285557E-05,0.000136555459313,0.004756902796273,0.010651325826438
149,by4741,0.127392253490342,0.19939800601994,0.281342392055531,ACOS,24,6,22,6,22,24,0.33,,0.007895333367386,0.011139990915627,0.615836002656118,0.868919291418907
150,by4741,0.076189100919154,0.801291987080129,0.864220677164956,ACOS,24,14,14,14,14,24,0,,0.074430658705784,0.08027599839472,5.80559137905113,1
151,by4741,0.146137230553401,0.090609093909061,0.136244330987347,ACOS,24,12,12,12,12,24,0,,0.00281245111201,0.004228941088132,0.219371186736787,0.329857404874294
152,by4741,0.328732100061536,9.99990000099999E-06,2.94282771458E-05,ACOS,24,20,14,20,14,24,0.25,,2.35413567359415E-10,1.15464749704856E-09,1.83622582540344E-08,9.00625047697876E-08
153,by4741,0.230029172822232,0.000429995700043,0.001054513264391,ACOS,24,18,0,18,0,24,0.75,,6.55102140932389E-06,1.60656001228657E-05,0.000510979669927,0.001253116809584
154,by4741,0.192290017657353,0.006709932900671,0.014104552832023,ACOS,24,8,14,8,14,24,0.75,,0.000134558872026,0.000282848241198,0.010495592018034,0.022062162813419
155,by4741,0.23702789288997,0.000259997400026,0.000669493305067,ACOS,24,14,6,14,6,24,0.33,,3.54448467631031E-06,9.12704804149904E-06,0.000276469804752,0.000711909747237
