Data Id,Data Label,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p
1,zwf1egf,0.107443221394192,0.39919600803992,0.496076910575923,ACOS,24,10,10,10,10,24,0,,0.020888171803037,0.025957523439446,1.62927740063688,1
2,zwf1egf,0.39449872539258,9.99990000099999E-06,6.53839615449999E-05,ACOS,24,18,12,18,12,24,0.25,,3.87134107584729E-14,1.17522854088221E-12,3.01964603916089E-12,9.16678261888126E-11
3,zwf1egf,0.116460504555298,0.298617013829862,0.401620983790162,ACOS,24,10,10,10,10,24,0,,0.013671255158921,0.018386972919435,1.06635790239585,1
4,zwf1egf,0.254873765665681,7.99992000079999E-05,0.000419748888931,ACOS,24,20,12,20,12,24,0.33,,6.85662103417731E-07,3.64257992440669E-06,5.3481644066583E-05,0.000284121234104
5,zwf1egf,0.112045559610884,0.345976540234598,0.44557584727183,ACOS,24,4,4,4,4,24,0,,0.016879340056507,0.021738544012168,1.31658852440754,1
6,zwf1egf,0.107137550778561,0.402735972640274,0.499016875720456,ACOS,24,10,10,10,10,24,0,,0.021180827361666,0.02624446538982,1.65210453420998,1
7,zwf1egf,0.352596258880341,9.99990000099999E-06,6.53839615449999E-05,ACOS,24,8,22,8,22,24,0.42,,1.18910685605287E-11,1.94373236085566E-10,9.27503347721241E-10,1.51611124146741E-08
8,zwf1egf,0.290183968704799,9.99990000099999E-06,6.53839615449999E-05,ACOS,24,10,18,10,18,24,0.67,,1.9189282941802E-08,1.3369582377485E-07,1.49676406946056E-06,1.04282742544383E-05
9,zwf1egf,0.123982843345226,0.228157718422816,0.325692212876529,ACOS,24,16,12,16,12,24,0.17,,0.009408927704677,0.013428534550126,0.733896360964843,1
10,zwf1egf,0.116505597302509,0.297957020429796,0.401620983790162,ACOS,24,2,22,2,22,24,0.17,,0.013641411666139,0.018386972919435,1.0640301099588,1
11,zwf1egf,0.031945042423155,0.999820001799982,0.999820001799982,ACOS,24,6,6,6,6,24,0,,0.27250078785604,0.27250078785604,21.2550614527711,1
12,zwf1egf,0.183385612529899,0.01139988600114,0.027528133809571,ACOS,24,2,22,2,22,24,0.17,,0.000255777280074,0.000617644000178,0.019950627845753,0.048176232013893
13,zwf1egf,0.143101168210059,0.102278977210228,0.172494306802964,COS,24,8,20,8,20,24,0.5,,0.003350419798163,0.005650509580236,0.26133274425675,0.440739747258407
14,zwf1egf,0.16092317226996,0.041939580604194,0.083682261768932,ACOS,24,10,4,10,4,24,0.25,,0.001147895817027,0.002290402451814,0.089535873728073,0.17865139124146
15,zwf1egf,0.128731312307939,0.190708092919071,0.282407454671098,ACOS,24,8,10,8,10,24,0.92,,0.007362158454009,0.010902151020745,0.574248359412702,0.850367779618113
16,zwf1egf,0.131937465174563,0.1679983200168,0.257759155260433,ACOS,24,16,18,16,18,24,0.92,,0.006212522800172,0.009531849061635,0.484576778413377,0.743484226807528
17,zwf1egf,0.071532439492998,0.851581484185158,0.916258558933398,ACOS,24,6,6,6,6,24,0,,0.087655453912183,0.094312830158678,6.83712540515024,1
18,zwf1egf,0.199143758702768,0.004129958700413,0.012277655001228,ACOS,24,6,14,6,14,24,0.67,,8.05822808151257E-05,0.000240745833346,0.00628541790358,0.018778175001002
19,zwf1egf,0.109506954186308,0.374506254937451,0.472300173140702,ACOS,24,16,6,16,6,24,0.42,,0.019000540022133,0.023962105369159,1.4820421217264,1
20,zwf1egf,0.132202541260279,0.166418335816642,0.257759155260433,ACOS,24,10,10,10,10,24,0,,0.006125003151824,0.009500461093158,0.477750245842308,0.741035965266354
21,zwf1egf,0.449166975266992,9.99990000099999E-06,6.53839615449999E-05,ACOS,24,20,10,20,10,24,0.42,,8.66466301860317E-18,6.13746963817724E-16,6.75843715451047E-16,4.78722631777825E-14
22,zwf1egf,0.160497815075983,0.042809571904281,0.083712465627637,ACOS,24,20,14,20,14,24,0.25,,0.001179071636773,0.002305236341962,0.091967587668264,0.179808434673004
23,zwf1egf,0.211042753657097,0.001789982100179,0.006037638036318,ACOS,24,14,0,14,0,24,0.58,,3.18516448573583E-05,0.000107436103686,0.002484428298874,0.008380016087472
24,zwf1egf,0.171854219483428,0.023149768502315,0.050454623658892,ACOS,24,2,16,2,16,24,0.42,,0.00056467998245,0.001230712782262,0.044045038631087,0.095995597016472
25,zwf1egf,0.309623029393208,9.99990000099999E-06,6.53839615449999E-05,ACOS,24,22,12,22,12,24,0.42,,2.22586121159092E-09,2.1999791044794E-08,1.73617174504092E-07,1.71598370149393E-06
26,zwf1egf,0.317554851890412,9.99990000099999E-06,6.53839615449999E-05,COS,24,6,18,6,18,24,0.5,,8.89741736574591E-10,1.01122602351013E-08,6.93998554528181E-08,7.88756298337905E-07
