position,trap,cell_label,0
zwf1egf_001,0,3,13
zwf1egf_001,1,2,25
zwf1egf_001,6,3,37
zwf1egf_001,15,2,7
zwf1egf_001,15,4,8
zwf1egf_001,16,4,8
zwf1egf_001,21,1,15
zwf1egf_001,22,2,25
zwf1egf_001,25,2,5
zwf1egf_001,32,1,4
zwf1egf_001,33,2,7
zwf1egf_001,33,9,11
zwf1egf_001,34,1,22
zwf1egf_001,40,4,24
zwf1egf_001,40,7,7
zwf1egf_001,46,4,7
zwf1egf_001,49,2,27
zwf1egf_001,50,1,7
zwf1egf_001,51,1,9
zwf1egf_001,52,1,21
zwf1egf_001,53,6,30
zwf1egf_001,53,8,15
zwf1egf_001,57,2,24
zwf1egf_001,58,2,30
zwf1egf_001,60,1,4
zwf1egf_001,64,1,33
zwf1egf_001,66,1,15
zwf1egf_001,66,6,10
zwf1egf_001,67,1,15
zwf1egf_001,68,7,21
zwf1egf_001,71,1,35
zwf1egf_001,71,5,23
zwf1egf_001,72,5,6
zwf1egf_001,72,7,7
zwf1egf_001,73,15,6
zwf1egf_001,74,13,35
zwf1egf_001,75,4,9
zwf1egf_001,76,5,10
zwf1egf_001,78,7,19
zwf1egf_001,79,4,5
zwf1egf_001,82,3,22
zwf1egf_001,83,1,1
zwf1egf_001,85,8,12
zwf1egf_001,85,9,13
zwf1egf_001,87,2,27
zwf1egf_001,87,3,21
zwf1egf_001,87,13,12
zwf1egf_001,88,1,25
zwf1egf_001,88,19,35
zwf1egf_001,91,9,10
zwf1egf_001,94,1,21
zwf1egf_001,94,6,16
zwf1egf_001,94,9,7
zwf1egf_001,96,5,5
zwf1egf_001,97,2,31
zwf1egf_002,0,3,7
zwf1egf_002,2,4,32
zwf1egf_002,2,8,37
zwf1egf_002,7,1,34
zwf1egf_002,7,2,6
zwf1egf_002,10,1,11
zwf1egf_002,14,3,5
zwf1egf_002,21,1,13
zwf1egf_002,24,1,32
zwf1egf_002,25,1,28
zwf1egf_002,26,1,7
zwf1egf_002,27,4,19
zwf1egf_002,27,7,22
zwf1egf_002,28,1,14
zwf1egf_002,29,3,17
zwf1egf_002,29,5,13
zwf1egf_002,30,2,10
zwf1egf_002,36,1,21
zwf1egf_002,37,3,15
zwf1egf_002,38,1,13
zwf1egf_002,40,3,24
zwf1egf_002,41,1,25
zwf1egf_002,41,3,28
zwf1egf_002,42,7,7
zwf1egf_002,43,2,19
zwf1egf_002,44,2,25
zwf1egf_002,44,7,25
zwf1egf_002,45,3,19
zwf1egf_002,46,1,23
zwf1egf_002,47,2,13
zwf1egf_002,48,5,23
zwf1egf_002,49,1,10
zwf1egf_002,53,3,20
zwf1egf_002,57,2,25
zwf1egf_002,59,1,24
zwf1egf_002,60,2,30
zwf1egf_002,62,2,15
zwf1egf_002,63,5,17
zwf1egf_002,64,1,6
zwf1egf_002,65,2,7
zwf1egf_002,67,2,18
zwf1egf_002,67,3,9
zwf1egf_002,71,1,24
zwf1egf_002,72,3,7
zwf1egf_002,74,1,25
zwf1egf_002,74,10,5
zwf1egf_002,75,2,3
zwf1egf_002,78,4,7
zwf1egf_002,78,5,28
zwf1egf_002,80,2,5
zwf1egf_002,80,7,19
zwf1egf_002,82,1,37
zwf1egf_002,82,2,22
zwf1egf_002,82,3,13
zwf1egf_002,82,4,25
zwf1egf_002,82,5,31
zwf1egf_002,85,4,26
