position,trap,cell_label,0
zwf1egf_002,86,4,31
zwf1egf_002,86,6,18
zwf1egf_002,90,5,23
zwf1egf_002,92,5,31
zwf1egf_002,92,7,14
zwf1egf_003,2,1,24
zwf1egf_003,4,1,25
zwf1egf_003,7,2,9
zwf1egf_003,10,1,19
zwf1egf_003,13,1,34
zwf1egf_003,14,1,18
zwf1egf_003,17,1,5
zwf1egf_003,36,1,29
zwf1egf_003,47,1,14
zwf1egf_003,49,1,26
zwf1egf_003,53,1,6
zwf1egf_003,56,6,25
zwf1egf_003,57,1,17
zwf1egf_003,57,2,13
zwf1egf_003,60,1,23
zwf1egf_003,60,2,15
zwf1egf_003,61,1,12
zwf1egf_003,73,8,6
zwf1egf_003,74,2,17
zwf1egf_003,75,4,26
zwf1egf_003,82,4,10
zwf1egf_003,82,5,9
zwf1egf_003,84,3,37
zwf1egf_003,85,7,11
zwf1egf_003,88,12,14
zwf1egf_003,89,2,13
zwf1egf_003,90,3,17
zwf1egf_003,90,4,36
zwf1egf_003,93,3,15
zwf1egf_004,2,1,17
zwf1egf_004,6,1,17
zwf1egf_004,10,3,2
zwf1egf_004,13,1,11
zwf1egf_004,14,1,1
zwf1egf_004,24,5,2
zwf1egf_004,26,1,18
zwf1egf_004,26,2,10
zwf1egf_004,39,2,34
zwf1egf_004,42,1,28
zwf1egf_004,42,2,13
zwf1egf_004,45,1,21
zwf1egf_004,49,1,32
zwf1egf_004,51,1,12
zwf1egf_004,57,1,35
zwf1egf_004,64,1,9
zwf1egf_004,67,1,28
zwf1egf_004,67,2,13
zwf1egf_004,68,3,8
zwf1egf_004,73,7,35
zwf1egf_004,77,1,12
zwf1egf_004,78,1,23
zwf1egf_004,81,6,23
zwf1egf_004,82,2,16
zwf1egf_004,88,1,21
zwf1egf_004,91,8,7
zwf1egf_004,98,1,21
zwf1egf_005,3,1,23
zwf1egf_005,28,1,30
zwf1egf_005,54,1,19
zwf1egf_005,66,1,5
zwf1egf_005,76,2,26
zwf1egf_005,81,1,17
zwf1egf_005,83,1,28
zwf1egf_005,84,3,14
zwf1egf_005,88,1,10
zwf1egf_005,91,1,7
zwf1egf_005,92,1,31
zwf1egf_005,94,2,28
zwf1egf_005,96,1,37
zwf1egf_005,97,2,11
zwf1egf_005,98,1,7
zwf1egf_005,98,2,4
zwf1egf_005,98,3,14
zwf1egf_005,98,4,3
zwf1egf_005,99,1,1
zwf1egf_007,4,1,23
zwf1egf_007,18,1,23
zwf1egf_007,27,2,7
zwf1egf_007,32,2,3
zwf1egf_007,39,1,9
zwf1egf_007,42,1,19
zwf1egf_007,43,2,17
zwf1egf_007,45,1,10
zwf1egf_007,46,1,37
zwf1egf_007,48,1,16
zwf1egf_007,51,1,13
zwf1egf_007,56,1,6
zwf1egf_007,56,2,15
zwf1egf_007,58,1,8
zwf1egf_007,58,3,23
zwf1egf_007,59,2,13
zwf1egf_007,64,1,27
zwf1egf_007,65,1,7
zwf1egf_007,65,4,5
zwf1egf_007,67,5,10
zwf1egf_007,69,2,31
zwf1egf_007,71,1,25
zwf1egf_007,72,2,8
zwf1egf_007,73,2,24
zwf1egf_007,75,2,14
zwf1egf_007,78,2,23
zwf1egf_007,79,1,14
zwf1egf_007,80,2,29
zwf1egf_007,81,2,9
zwf1egf_007,81,3,9
zwf1egf_007,83,2,9
zwf1egf_007,84,3,8
zwf1egf_007,85,1,9
zwf1egf_007,86,2,13
zwf1egf_007,87,1,12
zwf1egf_007,88,1,18
zwf1egf_007,89,1,5
zwf1egf_007,89,2,10
zwf1egf_007,91,2,24
zwf1egf_007,93,1,32
zwf1egf_007,95,2,19
zwf1egf_007,95,3,24
zwf1egf_007,97,2,13
zwf1egf_007,97,4,7
zwf1egf_008,1,1,2
zwf1egf_008,1,2,8
zwf1egf_008,1,4,2
zwf1egf_008,2,1,2
zwf1egf_008,3,1,23
zwf1egf_008,5,1,14
zwf1egf_008,6,1,20
zwf1egf_008,8,1,5
zwf1egf_008,8,2,23
zwf1egf_008,13,1,5
zwf1egf_008,15,1,33
zwf1egf_008,15,2,35
zwf1egf_008,16,2,4
zwf1egf_008,17,1,7
zwf1egf_008,22,5,3
zwf1egf_008,28,1,36
zwf1egf_008,30,1,23
zwf1egf_008,32,2,1
zwf1egf_008,36,2,9
zwf1egf_008,37,2,2
zwf1egf_008,39,2,22
zwf1egf_008,42,1,8
zwf1egf_008,47,1,24
zwf1egf_008,47,2,7
zwf1egf_008,49,3,17
zwf1egf_008,51,1,24
zwf1egf_008,52,1,21
zwf1egf_008,54,1,22
zwf1egf_008,61,3,14
zwf1egf_008,62,1,11
zwf1egf_008,65,3,9
zwf1egf_008,65,4,2
zwf1egf_008,66,1,11
zwf1egf_008,68,1,5
zwf1egf_008,69,1,2
zwf1egf_008,71,1,19
zwf1egf_008,76,3,13
zwf1egf_008,78,4,24
zwf1egf_008,79,4,35
zwf1egf_008,79,5,22
zwf1egf_008,81,2,34
zwf1egf_008,81,3,27
zwf1egf_008,82,3,26
zwf1egf_008,82,4,11
zwf1egf_008,83,1,27
zwf1egf_008,83,3,30
zwf1egf_008,85,1,8
zwf1egf_008,85,2,26
zwf1egf_008,85,3,24
zwf1egf_008,85,5,9
zwf1egf_008,87,2,30
zwf1egf_008,87,3,33
zwf1egf_008,87,6,12
zwf1egf_008,88,1,16
zwf1egf_008,88,3,23
zwf1egf_008,89,2,9
zwf1egf_008,89,14,25
zwf1egf_009,0,1,4
zwf1egf_009,1,2,19
zwf1egf_009,1,6,30
zwf1egf_009,2,1,31
zwf1egf_009,2,2,7
zwf1egf_009,3,2,19
zwf1egf_009,4,1,22
zwf1egf_009,4,2,7
zwf1egf_009,7,1,15
zwf1egf_009,7,4,19
zwf1egf_009,9,2,12
zwf1egf_009,10,1,32
zwf1egf_009,17,2,17
zwf1egf_009,19,1,23
zwf1egf_009,35,2,25
zwf1egf_009,36,2,21
zwf1egf_009,37,3,11
zwf1egf_009,40,4,12
zwf1egf_009,41,1,13
zwf1egf_009,46,1,23
zwf1egf_009,47,2,5
zwf1egf_009,48,2,11
zwf1egf_009,57,2,11
zwf1egf_009,59,2,24
zwf1egf_009,60,1,14
zwf1egf_009,61,4,9
zwf1egf_009,64,4,10
zwf1egf_009,66,4,13
zwf1egf_009,68,5,11
zwf1egf_009,69,1,31
zwf1egf_009,71,1,24
zwf1egf_009,72,1,31
zwf1egf_009,73,1,16
zwf1egf_009,77,1,19
zwf1egf_009,79,2,11
zwf1egf_009,79,3,7
zwf1egf_009,80,1,1
zwf1egf_009,80,2,9
zwf1egf_009,80,3,14
zwf1egf_009,82,2,10
zwf1egf_009,85,2,21
zwf1egf_009,85,5,29
zwf1egf_009,87,1,17
zwf1egf_010,1,1,18
zwf1egf_010,2,1,27
zwf1egf_010,6,2,37
zwf1egf_010,11,1,23
zwf1egf_010,14,1,17
zwf1egf_010,21,1,27
zwf1egf_010,25,1,2
zwf1egf_010,25,3,5
zwf1egf_010,25,4,15
zwf1egf_010,29,3,1
zwf1egf_010,30,1,13
zwf1egf_010,31,2,13
zwf1egf_010,32,1,30
zwf1egf_010,36,1,13
zwf1egf_010,37,1,29
zwf1egf_010,38,1,30
zwf1egf_010,38,2,15
zwf1egf_010,40,1,4
zwf1egf_010,41,1,20
zwf1egf_010,42,11,21
zwf1egf_010,43,2,6
zwf1egf_010,44,3,14
zwf1egf_010,45,1,23
zwf1egf_010,45,2,17
zwf1egf_010,46,3,17
zwf1egf_010,47,2,24
zwf1egf_010,49,6,17
zwf1egf_010,51,1,35
zwf1egf_010,52,1,25
zwf1egf_010,54,1,22
zwf1egf_010,54,2,17
zwf1egf_010,55,1,23
zwf1egf_010,56,3,37
zwf1egf_010,57,1,34
zwf1egf_010,57,4,34
zwf1egf_010,61,1,27
zwf1egf_010,61,3,9
zwf1egf_010,62,1,35
zwf1egf_010,63,2,8
zwf1egf_010,63,4,13
zwf1egf_010,64,3,26
zwf1egf_010,65,2,11
zwf1egf_010,65,3,13
zwf1egf_010,67,1,21
zwf1egf_010,71,2,15
zwf1egf_010,71,3,11
zwf1egf_010,73,2,6
zwf1egf_010,73,4,13
zwf1egf_010,75,3,21
zwf1egf_010,77,5,12
zwf1egf_010,77,7,27
zwf1egf_010,78,4,27
zwf1egf_010,83,3,20
zwf1egf_010,83,4,29
zwf1egf_010,85,5,11
zwf1egf_010,86,2,10
zwf1egf_010,86,3,12
zwf1egf_010,87,3,33
zwf1egf_010,88,1,25
zwf1egf_010,88,17,13
zwf1egf_010,88,19,1
zwf1egf_010,89,2,12
zwf1egf_010,89,4,15
zwf1egf_010,89,5,17
zwf1egf_010,91,3,14
zwf1egf_010,91,4,21
zwf1egf_010,92,7,21
zwf1egf_010,92,8,11
zwf1egf_010,93,4,35
zwf1egf_010,93,5,19
zwf1egf_010,94,5,19
zwf1egf_010,95,21,10
zwf1egf_011,19,1,14
zwf1egf_011,30,1,13
zwf1egf_011,41,1,17
zwf1egf_011,44,1,1
zwf1egf_011,44,2,5
zwf1egf_011,73,1,2
zwf1egf_011,78,4,4
zwf1egf_011,79,1,34
zwf1egf_011,83,1,13
zwf1egf_011,85,6,12
zwf1egf_011,87,3,17
zwf1egf_011,92,1,9
zwf1egf_011,94,2,8
zwf1egf_011,96,2,24
zwf1egf_011,96,3,4
zwf1egf_011,98,1,18
zwf1egf_011,98,2,11
